agency_id,route_id,route_short_name,route_type,route_long_name,route_url,route_color,route_text_color,route_sort_order
STCP,707,707,3,H.s.joão-ermesinde(est)via Arregadas,http://www.stcp.pt/pt/viajar/linhas/?linha=707,FF0000,FFFFFF,48
STCP,800,800,3,Bolhão-gondomar,http://www.stcp.pt/pt/viajar/linhas/?linha=800,A347FF,FFFFFF,49
STCP,801,801,3,Cordoaria-s.pedro Da Cova,http://www.stcp.pt/pt/viajar/linhas/?linha=801,A347FF,FFFFFF,50
STCP,803,803,3,Boavista-rio Tinto(esc. Sec.),http://www.stcp.pt/pt/viajar/linhas/?linha=803,A347FF,FFFFFF,51
STCP,804,804,3,Hospital S.joão-s.pedro Da Cova,http://www.stcp.pt/pt/viajar/linhas/?linha=804,A347FF,FFFFFF,52
STCP,805,805,3,Marquês-rio Tinto (estação),http://www.stcp.pt/pt/viajar/linhas/?linha=805,A347FF,FFFFFF,53
STCP,806,806,3,Marquês - Fânzeres (metro),http://www.stcp.pt/pt/viajar/linhas/?linha=806,A347FF,FFFFFF,54
STCP,900,900,3,Cordoaria-francelos,http://www.stcp.pt/pt/viajar/linhas/?linha=900,FF7900,FFFFFF,55
STCP,901,901,3,Trindade-valadares,http://www.stcp.pt/pt/viajar/linhas/?linha=901,FF7900,FFFFFF,56
STCP,902,902,3,Boavista - Lavadores,http://www.stcp.pt/pt/viajar/linhas/?linha=902,FF7900,FFFFFF,57
STCP,903,903,3,Boavista-laborim,http://www.stcp.pt/pt/viajar/linhas/?linha=903,FF7900,FFFFFF,58
STCP,904,904,3,Bolhão-coimbrões,http://www.stcp.pt/pt/viajar/linhas/?linha=904,FF7900,FFFFFF,59
STCP,905,905,3,Trindade-madalena (c.saúde),http://www.stcp.pt/pt/viajar/linhas/?linha=905,FF7900,FFFFFF,60
STCP,906,906,3,Trindade-madalena,http://www.stcp.pt/pt/viajar/linhas/?linha=906,FF7900,FFFFFF,61
STCP,907,907,3,Boavista-vila D'este,http://www.stcp.pt/pt/viajar/linhas/?linha=907,FF7900,FFFFFF,62
STCP,107,ZC,3,Estádio do Dragão-areias,http://www.stcp.pt/pt/viajar/linhas/?linha=ZC,187EC2,FFFFFF,63
STCP,1M,1M,3,Av.aliados - Matosinhos (praia),http://www.stcp.pt/pt/viajar/linhas/?linha=1M,000000,FFFFFF,64
STCP,2M,2M,3,Av.aliados - Hospital S. João,http://www.stcp.pt/pt/viajar/linhas/?linha=2M,000000,FFFFFF,65
STCP,3M,3M,3,Av.aliados - Aeroporto,http://www.stcp.pt/pt/viajar/linhas/?linha=3M,000000,FFFFFF,66
STCP,4M,4M,3,Av.aliados - Maia (câmara),http://www.stcp.pt/pt/viajar/linhas/?linha=4M,000000,FFFFFF,67
STCP,5M,5M,3,Av.aliados - Ermesinde (estação),http://www.stcp.pt/pt/viajar/linhas/?linha=5M,000000,FFFFFF,68
STCP,7M,7M,3,Av.aliados - Valongo,http://www.stcp.pt/pt/viajar/linhas/?linha=7M,000000,FFFFFF,69
STCP,8M,8M,3,Av.aliados - S.pedro Da Cova,http://www.stcp.pt/pt/viajar/linhas/?linha=8M,000000,FFFFFF,70
STCP,9M,9M,3,Aliados-gondomar (via Tic),http://www.stcp.pt/pt/viajar/linhas/?linha=9M,000000,FFFFFF,71
STCP,10M,10M,3,Av.aliados - Vila D'este,http://www.stcp.pt/pt/viajar/linhas/?linha=10M,000000,FFFFFF,72
STCP,11M,11M,3,Hosp. S. João - Coimbrões,http://www.stcp.pt/pt/viajar/linhas/?linha=11M,000000,FFFFFF,73
STCP,12M,12M,3,Av.aliados - Sto.ovídio,http://www.stcp.pt/pt/viajar/linhas/?linha=12M,000000,FFFFFF,74
STCP,13M,13M,3,Av.aliados - Matosinhos (mercado),http://www.stcp.pt/pt/viajar/linhas/?linha=13M,000000,FFFFFF,75
