stop_lat,stop_lon,stop_id,stop_code,stop_name,zone_id,stop_url
41.190785,-8.652617,LND2,LND2,C. C. Londres,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LND2
41.162615,-8.676513,LNEV1,LNEV1,Lgo.nevogilde,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LNEV1
41.162833,-8.676306,LNEV2,LNEV2,Lgo.nevogilde,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LNEV2
41.183207,-8.693579,LOTA1,LOTA1,Lota,MTS1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LOTA1
41.183030,-8.693576,LOTA2,LOTA2,Lota,MTS1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LOTA2
41.180716,-8.558980,LOUR3,LOUR3,Lourinha,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LOUR3
41.181245,-8.559567,LOUR4,LOUR4,Lourinha,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LOUR4
41.150722,-8.645194,LPC,LPC,Largo Pinto Correia,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LPC
41.143150,-8.608970,LPDZ,LPDZ,L.go 1º Dezembro,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LPDZ
41.154389,-8.649028,LRD1,LRD1,Lordelo,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LRD1
41.154139,-8.647722,LRD2,LRD2,Lordelo,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LRD2
41.232816,-8.618742,LUCM1,LUCM1,Luis Camões,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LUCM1
41.233249,-8.618899,LUCM2,LUCM2,Luis Camões,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LUCM2
41.167258,-8.631765,LUG2,LUG2,Lugarinho,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LUG2
41.125222,-8.631639,LV1,LV1,Lavouras,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LV1
41.125778,-8.631917,LV2,LV2,Lavouras,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LV2
41.126194,-8.631417,LV4,LV4,Lavouras,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LV4
41.208866,-8.570108,LVDR1,LVDR1,Lavadouros,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LVDR1
41.209092,-8.570394,LVDR2,LVDR2,Lavadouros,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LVDR2
41.131090,-8.669400,LVP,LVP,Lavadores (praia),VNG5,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LVP
41.225133,-8.615566,LVR1,LVR1,Rot.lavrador,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LVR1
41.225110,-8.615789,LVR2,LVR2,Rot.lavrador,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LVR2
41.226084,-8.615673,LVR3,LVR3,Rot.lavrador,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LVR3
41.225542,-8.615110,LVR4,LVR4,Rot.lavrador,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LVR4
41.168470,-8.591226,LW1,LW1,Luis Woodhouse,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LW1
41.168240,-8.591840,LW2,LW2,Luis Woodhouse,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LW2
41.232780,-8.623858,MAIA,MAIA,Maia,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MAIA
41.232453,-8.621306,MAIA3,MAIA3,Maia (câmara),MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MAIA3
41.232661,-8.622283,MAIA4,MAIA4,Maia (camara),MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MAIA4
41.236205,-8.615848,MAIE1,MAIE1,Maia (estádio),MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MAIE1
41.236410,-8.615731,MAIE2,MAIE2,Maia (estádio),MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MAIE2
41.234449,-8.630325,MAII1,MAII1,Maia (igreja),MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MAII1
41.235783,-8.597636,MAIJ1,MAIJ1,Maia Jardim,MAI3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MAIJ1
41.235619,-8.597685,MAIJ2,MAIJ2,Maia Jardim,MAI3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MAIJ2
41.197333,-8.619806,MAIN3,MAIN3,Maínça,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MAIN3
41.197389,-8.619944,MAIN4,MAIN4,Maínça,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MAIN4
41.235976,-8.630228,MAIZ,MAIZ,Maia (zoo),MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MAIZ
41.120361,-8.626722,MAKR3,MAKR3,Makro,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MAKR3
41.120389,-8.626611,MAKR4,MAKR4,Makro,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MAKR4
41.119875,-8.627185,MAKR5,MAKR5,Makro,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MAKR5
41.119783,-8.627671,MAKR6,MAKR6,Makro,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MAKR6
41.167301,-8.684367,MAL2,MAL2,Malaca,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MAL2
41.167167,-8.685225,MAL3,MAL3,Malaca,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MAL3
41.209565,-8.605132,MALM1,MALM1,Malmequeres,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MALM1
41.209583,-8.605227,MALM2,MALM2,Malmequeres,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MALM2
41.216171,-8.597001,MAMB1,MAMB1,Maiambiente,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MAMB1
41.215811,-8.596939,MAMB2,MAMB2,Maiambiente,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MAMB2
41.231294,-8.611841,MANH1,MANH1,Maninhos,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MANH1
41.231123,-8.611572,MANH2,MANH2,Maninhos,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MANH2
41.229653,-8.610751,MANH3,MANH3,Maninhos,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MANH3
41.229567,-8.610715,MANH4,MANH4,Maninhos,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MANH4
41.151474,-8.646334,MARB,MARB,Mocidade Arrábida,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MARB
41.222942,-8.547531,MARG1,MARG1,Marginal,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MARG1
41.222807,-8.547614,MARG2,MARG2,Marginal,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MARG2
41.207882,-8.685030,MARS1,MARS1,Mar Shopping Nascente,MTS2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MARS1
41.207563,-8.685019,MARS2,MARS2,Mar Shopping Nascente,MTS2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MARS2
41.182722,-8.682250,MATC1,MATC1,Matosinhos (cmm),MTS1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MATC1
41.181726,-8.682901,MATC2,MATC2,Matosinhos (cmm),MTS1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MATC2
41.186353,-8.685350,MATI2,MATI2,Matosinhos (igreja),MTS1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MATI2
41.187670,-8.693370,MATM1,MATM1,Matosinhos Mercado,MTS1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MATM1
41.187710,-8.693240,MATM2,MATM2,Matosinhos (mercado),MTS1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MATM2
41.187283,-8.692044,MATM3,MATM3,Matosinhos Mercado,MTS1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MATM3
41.187267,-8.693996,MATM6,MATM6,Matosinhos Mercado,MTS1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MATM6
41.150934,-8.622742,MATR,MATR,Maternidade,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MATR
41.151358,-8.621152,MATR1,MATR1,Maternidade,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MATR1
41.150519,-8.621981,MATR2,MATR2,Maternidade,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MATR2
41.163097,-8.590204,MAV1,MAV1,Monte Aventino,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MAV1
41.163168,-8.590407,MAV2,MAV2,Monte Aventino,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MAV2
41.157003,-8.574635,MCAM2,MCAM2,Monte Campanhã,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MCAM2
41.156858,-8.574754,MCAM3,MCAM3,Monte Campanhã,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MCAM3
41.231839,-8.613212,MCAU4,MCAU4,Macau,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MCAU4
41.149509,-8.607564,MCBL,MCBL,Mercado Do Bolhão,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MCBL
41.149525,-8.607392,MCBL1,MCBL1,Mercado Do Bolhão,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MCBL1
41.148944,-8.608611,MCBL2,MCBL2,Mercado Do Bolhão,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MCBL2
41.149251,-8.607695,MCBL3,MCBL3,Mercado Do Bolhão,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MCBL3
41.149606,-8.607512,MCBL4,MCBL4,Mercado Do Bolhão,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MCBL4
41.146724,-8.632303,MCE1,MCE1,Museu C. Eléctrico,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MCE1
41.146526,-8.632188,MCE2,MCE2,Museu C. Eléctrico,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MCE2
41.211333,-8.535194,MCST1,MCST1,Montes Da Costa,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MCST1
41.211194,-8.534750,MCST2,MCST2,Montes Da Costa,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MCST2
41.231176,-8.613529,MCU3,MCU3,Macau,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MCU3
41.110870,-8.634365,MDCS1,MDCS1,Madalena (c.saúde),VNG4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MDCS1
41.112674,-8.644141,MDL1,MDL1,Madalena (escolas),VNG4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MDL1
41.112559,-8.643890,MDL2,MDL2,Madalena (escolas),VNG4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MDL2
41.101695,-8.644889,MDLI2,MDLI2,Madalena (igreja),VNG4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MDLI2
41.112593,-8.642104,MDLP,MDLP,Madalena,VNG4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MDLP
41.189639,-8.558444,MED1,MED1,Medancelhe,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MED1
41.189110,-8.558180,MED2,MED2,Medancelhe,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MED2
41.210785,-8.565601,MEIL1,MEIL1,Meilão,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MEIL1
41.211216,-8.565474,MEIL2,MEIL2,Meilão,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MEIL2
41.167806,-8.562806,MEIR,MEIR,Meiral,GDM1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MEIR
